RotationX,RotationY,RotationZ,PositionX,PositionY,PositionZ,Button Pressed,Frame,TimeFromStart,TimeInTrial,Block,Trial,Scene,Condition,IsTrial,IsWait
0.3824214,-0.3269984,-0.1882626,0.1807928,1.012818,0.1462279,0,2706,0.02,0,-1,-20,Begin 1,0,0,1
0.3820482,-0.3270103,-0.1882586,0.1809418,1.012635,0.1459571,0,2707,0.04,0,-1,-20,Begin 1,0,0,1
0.3820482,-0.3270103,-0.1882586,0.1809418,1.012635,0.1459571,0,2707,0.06,0,-1,-20,Begin 1,0,0,1
0.3819911,-0.3272845,-0.1883381,0.1811633,1.012373,0.1454418,0,2708,0.08,0,-1,-20,Begin 1,0,0,1
0.3819911,-0.3272845,-0.1883381,0.1811633,1.012373,0.1454418,0,2708,0.09999999,0,-1,-20,Begin 1,0,0,1
0.3819911,-0.3272845,-0.1883381,0.1811633,1.012373,0.1454418,0,2708,0.12,0,-1,-20,Begin 1,0,0,1
0.3819911,-0.3272845,-0.1883381,0.1811633,1.012373,0.1454418,0,2708,0.14,0,-1,-20,Begin 1,0,0,1
0.3819911,-0.3272845,-0.1883381,0.1811633,1.012373,0.1454418,0,2708,0.16,0,-1,-20,Begin 1,0,0,1
0.3821633,-0.329514,-0.1891192,0.1818868,1.012143,0.1444581,0,2709,0.18,0,-1,-20,Begin 1,0,0,1
0.3821633,-0.329514,-0.1891192,0.1818868,1.012143,0.1444581,0,2709,0.2,0,-1,-20,Begin 1,0,0,1
0.3821633,-0.329514,-0.1891192,0.1818868,1.012143,0.1444581,0,2709,0.22,0,-1,-20,Begin 1,0,0,1
0.3821633,-0.329514,-0.1891192,0.1818868,1.012143,0.1444581,0,2709,0.24,0,-1,-20,Begin 1,0,0,1
0.3821633,-0.329514,-0.1891192,0.1818868,1.012143,0.1444581,0,2709,0.26,0,-1,-20,Begin 1,0,0,1
0.3824691,-0.3299309,-0.1878541,0.1813246,1.012717,0.1443146,0,2710,0.28,0,-1,-20,Begin 1,0,0,1
0.3824691,-0.3299309,-0.1878541,0.1813246,1.012717,0.1443146,0,2710,0.3,0,-1,-20,Begin 1,0,0,1
0.3824691,-0.3299309,-0.1878541,0.1813246,1.012717,0.1443146,0,2710,0.32,0,-1,-20,Begin 1,0,0,1
0.3824691,-0.3299309,-0.1878541,0.1813246,1.012717,0.1443146,0,2710,0.34,0,-1,-20,Begin 1,0,0,1
0.3824691,-0.3299309,-0.1878541,0.1813246,1.012717,0.1443146,0,2710,0.36,0,-1,-20,Begin 1,0,0,1
0.3838577,-0.3276457,-0.1868331,0.1786837,1.014192,0.143411,0,2711,0.38,0,-1,-20,Begin 1,0,0,1
0.3838577,-0.3276457,-0.1868331,0.1786837,1.014192,0.143411,0,2711,0.4,0,-1,-20,Begin 1,0,0,1
0.3838577,-0.3276457,-0.1868331,0.1786837,1.014192,0.143411,0,2711,0.42,0,-1,-20,Begin 1,0,0,1
0.3838577,-0.3276457,-0.1868331,0.1786837,1.014192,0.143411,0,2711,0.4400001,0,-1,-20,Begin 1,0,0,1
0.3735719,-0.3244138,-0.1706959,0.1693021,1.014505,0.1386107,0,2712,0.4600001,0,-1,-20,Begin 1,0,0,1
0.3735719,-0.3244138,-0.1706959,0.1693021,1.014505,0.1386107,0,2712,0.4800001,0,-1,-20,Begin 1,0,0,1
0.3735719,-0.3244138,-0.1706959,0.1693021,1.014505,0.1386107,0,2712,0.5000001,0,-1,-20,Begin 1,0,0,1
0.3735719,-0.3244138,-0.1706959,0.1693021,1.014505,0.1386107,0,2712,0.52,0,-1,-20,Begin 1,0,0,1
0.3825524,-0.2738416,-0.1658761,0.1415154,1.009503,0.1230771,0,2713,0.54,0,-1,-20,Begin 1,0,0,1
0.3825524,-0.2738416,-0.1658761,0.1415154,1.009503,0.1230771,0,2713,0.56,0,-1,-20,Begin 1,0,0,1
0.3825524,-0.2738416,-0.1658761,0.1415154,1.009503,0.1230771,0,2713,0.58,0,-1,-20,Begin 1,0,0,1
0.3825524,-0.2738416,-0.1658761,0.1415154,1.009503,0.1230771,0,2713,0.6,0,-1,-20,Begin 1,0,0,1
0.3825524,-0.2738416,-0.1658761,0.1415154,1.009503,0.1230771,0,2713,0.6199999,0,-1,-20,Begin 1,0,0,1
0.3778791,-0.2390611,-0.1508721,0.1152696,1.004177,0.1101953,0,2714,0.6399999,0,-1,-20,Begin 1,0,0,1
0.3778791,-0.2390611,-0.1508721,0.1152696,1.004177,0.1101953,0,2714,0.6599999,0,-1,-20,Begin 1,0,0,1
0.3778791,-0.2390611,-0.1508721,0.1152696,1.004177,0.1101953,0,2714,0.6799999,0,-1,-20,Begin 1,0,0,1
0.3778791,-0.2390611,-0.1508721,0.1152696,1.004177,0.1101953,0,2714,0.6999999,0,-1,-20,Begin 1,0,0,1
0.3778791,-0.2390611,-0.1508721,0.1152696,1.004177,0.1101953,0,2714,0.7199998,0,-1,-20,Begin 1,0,0,1
0.3764847,-0.2083869,-0.1368123,0.08455366,1.003385,0.09620713,0,2715,0.7399998,0,-1,-20,Begin 1,0,0,1
0.3764847,-0.2083869,-0.1368123,0.08455366,1.003385,0.09620713,0,2715,0.7599998,0,-1,-20,Begin 1,0,0,1
0.3764847,-0.2083869,-0.1368123,0.08455366,1.003385,0.09620713,0,2715,0.7799998,0,-1,-20,Begin 1,0,0,1
0.3764847,-0.2083869,-0.1368123,0.08455366,1.003385,0.09620713,0,2715,0.7999998,0,-1,-20,Begin 1,0,0,1
0.3902711,-0.1484996,-0.1443089,0.04459206,1.004682,0.07789167,0,2716,0.8199998,0,-1,-20,Begin 1,0,0,1
0.3902711,-0.1484996,-0.1443089,0.04459206,1.004682,0.07789167,0,2716,0.8399997,0,-1,-20,Begin 1,0,0,1
0.3902711,-0.1484996,-0.1443089,0.04459206,1.004682,0.07789167,0,2716,0.8599997,0,-1,-20,Begin 1,0,0,1
0.3902711,-0.1484996,-0.1443089,0.04459206,1.004682,0.07789167,0,2716,0.8799997,0,-1,-20,Begin 1,0,0,1
0.4500217,-0.08196538,-0.1199314,5.629261E-05,1.015851,0.0437173,0,2717,0.8999997,0,-1,-20,Begin 1,0,0,1
0.4500217,-0.08196538,-0.1199314,5.629261E-05,1.015851,0.0437173,0,2717,0.9199997,0,-1,-20,Begin 1,0,0,1
0.4500217,-0.08196538,-0.1199314,5.629261E-05,1.015851,0.0437173,0,2717,0.9399996,0,-1,-20,Begin 1,0,0,1
0.4500217,-0.08196538,-0.1199314,5.629261E-05,1.015851,0.0437173,0,2717,0.9599996,0,-1,-20,Begin 1,0,0,1
0.4500217,-0.08196538,-0.1199314,5.629261E-05,1.015851,0.0437173,0,2717,0.9799996,0,-1,-20,Begin 1,0,0,1
0.4573767,-0.1011206,-0.1148534,-0.009391104,1.025655,0.03382279,0,2718,0.9999996,0,-1,-20,Begin 1,0,0,1
0.4573767,-0.1011206,-0.1148534,-0.009391104,1.025655,0.03382279,0,2718,1.02,0,-1,-20,Begin 1,0,0,1
0.4573767,-0.1011206,-0.1148534,-0.009391104,1.025655,0.03382279,0,2718,1.04,0,-1,-20,Begin 1,0,0,1
0.4573767,-0.1011206,-0.1148534,-0.009391104,1.025655,0.03382279,0,2718,1.06,0,-1,-20,Begin 1,0,0,1
0.4573767,-0.1011206,-0.1148534,-0.009391104,1.025655,0.03382279,0,2718,1.08,0,-1,-20,Begin 1,0,0,1
0.427958,-0.07117565,-0.158991,-0.01466995,1.024522,0.02670639,0,2719,1.1,0,-1,-20,Begin 1,0,0,1
0.427958,-0.07117565,-0.158991,-0.01466995,1.024522,0.02670639,0,2719,1.12,0,-1,-20,Begin 1,0,0,1
0.427958,-0.07117565,-0.158991,-0.01466995,1.024522,0.02670639,0,2719,1.14,0,-1,-20,Begin 1,0,0,1
0.427958,-0.07117565,-0.158991,-0.01466995,1.024522,0.02670639,0,2719,1.159999,0,-1,-20,Begin 1,0,0,1
0.427958,-0.07117565,-0.158991,-0.01466995,1.024522,0.02670639,0,2719,1.179999,0,-1,-20,Begin 1,0,0,1
0.3506401,-0.1199566,-0.1232733,-0.01369979,1.023436,0.02524743,0,2720,1.199999,0,-1,-20,Begin 1,0,0,1
0.3506401,-0.1199566,-0.1232733,-0.01369979,1.023436,0.02524743,0,2720,1.219999,0,-1,-20,Begin 1,0,0,1
